Country,“Overall I do not think vaccines are effective”percent,“Vaccines are not important for children to have”percent,Total population (Gapminder)
Afghanistan,5.80%,3.60%,34.41 million
Africa,,,1.18 billion
Albania,,,2.89 million
Algeria,7.80%,1.20%,39.73 million
American Samoa,,,56000.00
Andorra,,,78000.00
Angola,,,27.88 million
Anguilla,,,14000.00
Antigua and Barbuda,,,94000.00
Argentina,1.30%,0.50%,43.08 million
Armenia,13.90%,7.60%,2.93 million
Aruba,,,104000.00
Asia,,,4.43 billion
Australia,4.30%,3.50%,23.93 million
Austria,11.80%,9.50%,8.68 million
Azerbaijan,13.30%,13.90%,9.62 million
Bahamas,,,374000.00
Bahrain,,,1.37 million
Bangladesh,5.10%,0.30%,156.26 million
Barbados,,,285000.00
Belarus,,,9.44 million
Belgium,5.10%,2.60%,11.29 million
Belize,,,361000.00
Benin,,,10.58 million
Bermuda,,,64000.00
Bhutan,,,728000.00
Bolivia,,,10.87 million
Bonaire Sint Eustatius and Saba,,,25000.00
Bosnia and Herzegovina,26.00%,10.90%,3.43 million
Botswana,,,2.12 million
Brazil,4.50%,0.70%,204.47 million
British Virgin Islands,,,29000.00
Brunei,,,415000.00
Bulgaria,7.00%,5.00%,7.20 million
Burkina Faso,,,18.11 million
Burundi,,,10.16 million
Cambodia,,,15.52 million
Cameroon,,,23.30 million
Canada,10.50%,6.30%,36.03 million
Cape Verde,,,525000.00
Cayman Islands,,,62000.00
Central African Republic,,,4.49 million
Chad,,,14.11 million
Channel Islands,,,165000.00
Chile,,,17.97 million
China,12.60%,13.50%,1.41 billion
Colombia,5.90%,3.00%,47.52 million
Comoros,,,777000.00
Congo,,,4.86 million
Cook Islands,,,18000.00
Costa Rica,,,4.85 million
Cote d'Ivoire,,,23.23 million
Croatia,,,4.23 million
Cuba,,,11.32 million
Curacao,,,160000.00
Cyprus,,,1.16 million
Czechia,7.30%,6.20%,10.60 million
Democratic Republic of Congo,8.80%,4.60%,76.25 million
Denmark,4.10%,3.40%,5.69 million
Djibouti,,,914000.00
Dominica,,,71000.00
Dominican Republic,,,10.28 million
Ecuador,2.10%,0.40%,16.21 million
Egypt,,,92.44 million
El Salvador,,,6.33 million
Equatorial Guinea,,,1.17 million
Eritrea,,,3.34 million
Estonia,,,1.31 million
Eswatini,,,1.10 million
Ethiopia,2.10%,0.70%,100.83 million
Europe,,,743.06 million
Faeroe Islands,,,48000.00
Falkland Islands,,,3000.00
Fiji,11.60%,8.50%,869000.00
Finland,3.40%,2.00%,5.48 million
France,17.30%,11.70%,64.45 million
French Guiana,,,261000.00
French Polynesia,,,273000.00
Gabon,,,1.95 million
Gambia,,,2.09 million
Georgia,,,4.02 million
Germany,8.00%,5.80%,81.79 million
Ghana,8.40%,4.00%,27.85 million
Gibraltar,,,34000.00
Greece,17.00%,11.70%,10.66 million
Greenland,,,56000.00
Grenada,,,110000.00
Guadeloupe,,,400000.00
Guam,,,162000.00
Guatemala,,,16.25 million
Guinea,,,11.43 million
Guinea-Bissau,,,1.74 million
Guyana,,,767000.00
Haiti,,,10.70 million
Honduras,,,9.11 million
Hong Kong,13.50%,12.90%,7.19 million
Hungary,,,9.78 million
Iceland,2.30%,1.00%,330000.00
India,7.50%,4.90%,1.31 billion
Indonesia,7.00%,2.00%,258.38 million
Iran,8.50%,0.40%,78.49 million
Iraq,,,35.57 million
Ireland,6.20%,5.40%,4.65 million
Isle of Man,,,83000.00
Israel,,,7.98 million
Italy,18.30%,15.30%,60.58 million
Jamaica,,,2.89 million
Japan,9.90%,4.70%,127.98 million
Jordan,,,9.27 million
Kazakhstan,,,17.57 million
Kenya,,,47.88 million
Kiribati,,,111000.00
Kosovo,4.50%,1.10%,
Kuwait,,,3.84 million
Kyrgyzstan,,,5.96 million
Laos,,,6.74 million
Latin America,,,623.93 million
Latvia,14.30%,8.40%,2.00 million
Lebanon,8.00%,2.60%,6.53 million
Lesotho,,,2.06 million
Liberia,,,4.47 million
Libya,,,6.42 million
Liechtenstein,,,37000.00
Lithuania,,,2.93 million
Luxembourg,,,567000.00
Macao,,,602000.00
Madagascar,,,24.23 million
Malawi,,,16.75 million
Malaysia,,,30.27 million
Maldives,,,455000.00
Mali,,,17.44 million
Malta,,,434000.00
Marshall Islands,,,57000.00
Martinique,,,378000.00
Mauritania,,,4.05 million
Mauritius,,,1.26 million
Mayotte,,,240000.00
Mexico,13.90%,11.90%,121.86 million
Micronesia (country),,,109000.00
Moldova,,,4.07 million
Monaco,,,38000.00
Mongolia,6.60%,5.10%,3.00 million
Montenegro,,,627000.00
Montserrat,,,5000.00
Morocco,5.20%,1.30%,34.66 million
Mozambique,,,27.04 million
Myanmar,,,52.68 million
Namibia,,,2.31 million
Nauru,,,10000.00
Nepal,,,27.02 million
Netherlands,6.70%,5.70%,16.94 million
New Caledonia,,,271000.00
New Zealand,,,4.62 million
Nicaragua,,,6.22 million
Niger,,,20.00 million
Nigeria,11.30%,3.90%,181.14 million
Niue,,,2000.00
North America,,,357.03 million
North Korea,,,25.18 million
North Macedonia,11.30%,10.20%,2.08 million
Northern Mariana Islands,,,56000.00
Norway,,,5.20 million
Oceania,,,39.86 million
Oman,,,4.27 million
Pakistan,12.60%,6.30%,199.43 million
Palau,,,18000.00
Palestine,10.90%,9.30%,4.53 million
Panama,5.10%,1.50%,3.97 million
Papua New Guinea,9.90%,7.60%,8.11 million
Paraguay,,,6.69 million
Peru,8.00%,2.50%,30.47 million
Philippines,2.20%,0.50%,102.11 million
Poland,10.30%,8.30%,38.03 million
Portugal,4.40%,2.00%,10.37 million
Puerto Rico,,,3.38 million
Qatar,,,2.57 million
Reunion,,,863000.00
Romania,15.60%,10.50%,19.93 million
Russia,18.40%,16.00%,144.98 million
Rwanda,,,11.37 million
Saint Barthlemy,,,10000.00
Saint Helena,,,6000.00
Saint Kitts and Nevis,,,51000.00
Saint Lucia,,,179000.00
Saint Martin (French part),,,36000.00
